Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1773836096,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773836097,5,,Aggregated,0.000000,0.000000,100,110,110,110,110,110,110,110,110,110,110,5,0,100.0,96.0899692001476,57.211782000194944,112.87752099997306,4426.6
1773836098,10,,Aggregated,0.000000,0.000000,72,100,100,100,110,110,110,110,110,110,110,11,0,72,74.48174263638727,16.138444000262098,112.87752099997306,4242.0
1773836099,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773836100,20,,Aggregated,0.000000,0.000000,13,77,92,93,96,97,97,97,97,97,97,14,0,13,43.171463357176826,6.215645000338554,97.11976199969286,4203.357142857143
1773836101,25,,Aggregated,0.000000,0.000000,13,771773836101,50,,Aggregated,0.000000,0.000000,71,78,100,11773836102,30,,Aggregated,0.000000,0.000000,N/A,N/A1773836102,30,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773836103,35,,Aggregated,0.000000,0.000000,17,41,50,55,75,76,76,76,76,76,76,20,0,15,29.765864150044763,5.987758000173926,76.21537300019554,4608.5
1773836104,40,,Aggregated,0.000000,0.000000,14,41,55,69,76,83,87,87,87,87,87,42,0,12,31.72612447619507,5.94590499986225,87.05876600015472,4470.166666666667
1773836105,45,,Aggregated,0.000000,0.000000,8,8,8,8,8,8,8,8,8,8,8,1,0,8.421736000400415,8.421736000400415,8.421736000400415,8.421736000400415,3653.0
1773836106,50,,Aggregated,0.000000,0.000000,16,74,91,96,200,200,21773836107,50,,Aggregated,0.000000,0.000000,12,25,38,55,110,210,210,210,210,210,210,57,0,12,40.51281451773836107,50,,Aggregated,0.000000,0.000000,11,18,28,54,96,200,200,200,200,200,200,53,0,11,36.90883926418672,5.863356999725511,199.61094299969773,4376.698113207547
1773836108,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773836109,50,,Aggregated,0.000000,0.000000,37,53,67,71,77,77,89,89,89,89,89,25,0,37,42.20583908001572,8.188798999981373,88.56119299980492,4266.52
1773836110,50,,Aggregated,0.000000,0.000000,19,32,43,51,71,77,89,89,89,89,89,48,0,18,28.62420529166343,5.506260999936785,88.56119299980492,4179.375
1773836111,50,,Agg1773836112,50,,Aggregated,0.000000,0.000000,12,21,24,24,26,26,36,36,36,36,36,28,0,11,15.74928482141656,6.477936999999656,36.24252700001307,46351773836112,50,,Aggregated,0.000000,0.000000,10,12,16,21,21,24,24,24,24,24,24,30,0,10,12.558725866665554,6.318337000266183,24.46892099987963,4533.4
1773836113,50,,Aggregated,0.000000,0.000000,10,12,15,16,21,21,24,24,24,24,24,53,0,10,11.839872830186547,6.318337000266183,24.46892099987963,4671.433962264151
1773836114,50,,Aggregated,0.000000,0.000000,9,9,9,9,9,9,9,9,9,9,9,1,0,8.942979000039486,8.942979000039486,8.942979000039486,8.942979000039486,3877.0
1773836115,50,,Aggregated,0.000000,0.000000,9,9,10,13,14,17,20,20,20,20,20,22,0,8,9.375066363707612,5.271886000173254,19.835639000120864,3662.181818181818
1773836116,50,,Aggregated,0.000000,1773836117,50,,Aggregated,0.000000,0.000000,7,7,7,7,7,7,7,7,7,7,7,1,0,6.610986999930901,6.610986999930901,6.6109869999309011773836117,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773836118,50,,Aggregated,0.000000,0.000000,9,11,12,13,15,33,36,36,36,36,36,25,0,9,11.46026295993579,6.4480920000278275,35.71578899982342,4776.72
1773836119,50,,Aggregated,0.000000,0.000000,9,10,12,12,15,24,36,36,36,36,36,50,0,8,10.731088399943474,5.505589000222244,35.71578899982342,4743.1
1773836120,50,,Aggregated,0.000000,0.000000,7,7,7,7,7,7,7,7,7,7,7,1,0,6.6706420002446976,6.6706420002446976,6.6706420002446976,6.6706420002446976,5816.0
1773836121,50,,Aggregated,0.000000,0.000000,9,10,11,14,15,18,21,21,21,21,21,25,0,9,10.27777621773836122,50,,Aggregated,0.000000,0.000000,9,11,13,141773836122,50,,Aggregated,0.000000,0.000000,10,12,13,14,17,18,25,25,25,25,25,50,0,9,10.92998134001391,6.234848000076454,25.146392999886302,4266.78
1773836123,50,,Aggregated,0.000000,0.000000,8,8,8,8,8,8,8,8,8,8,8,1,0,7.902190000095288,7.902190000095288,7.902190000095288,7.902190000095288,3653.0
1773836124,50,,Aggregated,0.000000,0.000000,8,12,13,13,18,19,23,23,23,23,23,28,0,8,10.662303071415279,6.436918999952468,23.32443900013459,4494.678571428572
1773836125,50,,Aggregated,0.000000,0.000000,9,12,15,15,19,28,29,31,31,31,31,54,0,9,11.927229722223947,5.906810999931622,31.396630000017467,4268.351851851852
1773836126,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773836127,50,,Aggregated,0.000000,0.000000,12,16,20,29,38,40,40,40,40,40,40,19,0,12,16.29302078945808,5.577744000220264,39.682942000126786,4478.631578947368
1773836128,50,,Aggregated,0.000000,0.000000,12,16,19,20,32,38,40,40,40,40,40,46,0,12,16.021620239153773,5.577744000220264,39.682942000126786,4602.391304347826
1773836129,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773836130,50,,Aggregated,0.000000,0.000000,8,11,11,12,19,19,19,19,19,19,19,21,0,8,10.113212952308546,5.327943999873241,19.291238999812776,4096.285714285715
1773836131,50,,Aggregated,0.000000,0.000000,11,14,17,19,34,36,50,50,50,50,50,48,0,11,14.405501874961146,5.327943999873241,49.6644350000679,4078.75
1773836132,50,,Aggregated,0.000000,0.000000,11,11,11,11,11,11,11,11,11,11,11,2,0,8.004885999980615,9.373860999858152,8.004885999980615,10.74283599973569,4197.0
1773836133,50,,Aggregated,0.000000,0.000000,10,11,11,12,13,14,15,15,15,15,15,32,0,10,10.145722749925312,6.78063099985593,15.362466000169661,4578.90625
1773836134,50,,Aggregated,0.000000,0.000000,9,11,12,12,15,22,27,29,29,29,29,52,0,9,10.678379730716888,5.42429600000105,28.513289999864355,4636.692307692308
1773836135,50,,Aggregated,0.000000,0.000000,9,9,9,9,9,9,9,9,9,9,9,2,0,5.060264999883657,7.125515500092661,5.060264999883657,9.190766000301664,2419.5
1773836136,50,,Aggregated,0.000000,0.000000,10,14,18,18,25,30,31,31,31,31,31,32,0,10,13.460537625036295,5.060264999883657,31.37123699980293,4382.875
1773836137,50,,Aggregated,0.000000,0.000000,11,13,17,18,27,36,38,39,39,39,39,56,0,10,13.713606607154816,5.060264999883657,38.65949700002602,4416.321428571428
1773836138,50,,Aggregated,0.000000,0.000000,9,9,10,10,10,10,10,10,10,10,10,4,0,8,8.648352500017609,7.32222200031174,9.83183900007134,3733.0
1773836139,50,,Aggregated,0.000000,0.000000,12,15,16,17,22,24,27,27,27,27,27,32,0,11,13.010291937476381,5.8875589998024225,26.5203730000394,4361.84375
1773836140,50,,Aggregated,0.000000,0.000000,12,14,15,17,20,22,27,27,27,27,27,50,0,12,12.773668419977184,5.8875589998024225,26.5203730000394,4317.7
1773836141,50,,Aggregated,0.000000,0.000000,6,6,6,6,6,6,6,6,6,6,6,1,0,6.254637999973056,6.254637999973056,6.254637999973056,6.254637999973056,5816.0
1773836142,50,,Aggregated,0.000000,0.000000,9,11,13,13,16,17,41,41,41,41,41,24,0,9,11.080541416674805,6.000270999720669,41.470615999969596,4434.791666666667
1773836143,50,,Aggregated,0.000000,0.000000,10,12,13,14,17,18,41,41,41,41,41,49,0,10,11.200076959187067,6.000270999720669,41.470615999969596,4483.367346938776
1773836144,50,,Aggregated,0.000000,0.000000,8,8,8,8,8,8,8,8,8,8,8,1,0,8.106955000130256,8.106955000130256,8.106955000130256,8.106955000130256,3653.0
1773836145,50,,Aggregated,0.000000,0.000000,9,12,15,18,20,22,22,22,22,22,22,20,0,9,11.505433050001557,5.964009999843256,22.173134999775357,4773.65
1773836146,50,,Aggregated,0.000000,0.000000,11,12,15,16,20,22,23,32,32,32,32,52,0,10,12.022778326914144,5.569420000028913,32.4075419998735,4224.442307692308
1773836147,50,,Aggregated,0.000000,0.000000,29,29,29,29,29,29,29,29,29,29,29,2,0,10.08801299985862,19.29893299984542,10.08801299985862,28.50985299983222,4309.0
1773836148,50,,Aggregated,0.000000,0.000000,14,16,16,16,19,22,29,29,29,29,29,22,0,13,13.68712149997009,5.531343999791716,28.50985299983222,4368.818181818182
1773836149,50,,Aggregated,0.000000,0.000000,10,14,15,16,20,26,29,29,29,29,29,49,0,10,12.037021857116885,5.141748999903939,28.50985299983222,4344.530612244898
1773836150,50,,Aggregated,0.000000,0.000000,10,10,10,10,10,10,10,10,10,10,10,1,0,10.143450999748893,10.143450999748893,10.143450999748893,10.143450999748893,3653.0
1773836151,50,,Aggregated,0.000000,0.000000,10,12,14,15,18,20,20,20,20,20,20,29,0,10,11.207484758572186,6.120983999608143,20.05736599994634,4155.103448275862
1773836152,50,,Aggregated,0.000000,0.000000,11,14,18,20,26,39,42,45,45,45,45,59,0,11,14.49144991522066,6.120983999608143,44.90281100015636,4422.135593220339
1773836153,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773836154,50,,Aggregated,0.000000,0.000000,10,11,13,13,21,25,29,29,29,29,29,30,0,9,11.51987143336252,5.538853000416566,29.049755000414734,4037.5333333333333
1773836155,50,,Aggregated,0.000000,0.000000,10,13,14,15,21,26,29,32,32,32,32,54,0,10,11.935946074050594,5.314675000136049,32.15506600008666,4427.555555555556
1773836156,50,,Aggregated,0.000000,0.000000,9,9,11,11,11,11,11,11,11,11,11,3,0,9,9.047632666655167,7.877062000261503,10.75717399999121,4448.666666666667
1773836157,50,,Aggregated,0.000000,0.000000,10,12,15,16,22,25,27,27,27,27,27,24,0,10,12.350797208360595,5.324783000105526,26.50925499983714,4504.208333333333
1773836158,50,,Aggregated,0.000000,0.000000,10,13,16,17,21,24,25,27,27,27,27,55,0,10,12.577040890945765,5.324783000105526,26.50925499983714,4478.818181818182
